deck_id,deck_title,category,question_id,question_number,question,correct_answer,answer_source,primary_lecture_id,primary_test,primary_official_number,primary_title,alternate_lecture_id,alternate_test,alternate_official_number,alternate_title,confidence,rationale
obs,Obstetrics,Reviews,1,1,"A 27 yrs old woman with previous normal vaginal deliveries; is now 41 weeks pregnant 7 her pregnancy was uneventful. She is not contracting and her Pv examination revealed a posterior firm 50 % effaced 2 cm dilated cervix and the fetal head at – 1 station , with reassuring FHR tracing. You decide to manage her pregnancy expectantly. what is the woman's Bishop score?",A,circled,41,3,4,Postmaturity and induction of labor,,,,,high,Bishop scoring and post-date induction assessment are core content of the postmaturity/induction lecture.
obs,Obstetrics,Reviews,2,2,"A 27 yrs old woman with previous normal vaginal deliveries; is now 41 weeks pregnant 7 her pregnancy was uneventful. She is not contracting and her Pv examination revealed a posterior firm 50 % effaced 2 cm dilated cervix and the fetal head at – 1 station , with reassuring FHR tracing. You decide to manage her pregnancy expectantly. Which of the following is an appropriate antepartum fetal surveillance strategy?",B,circled,41,3,4,Postmaturity and induction of labor,,,,,high,Post-date expectant surveillance uses NST/CTG plus amniotic-fluid assessment in this lecture.
obs,Obstetrics,Reviews,3,3,"A 27 yrs old woman with previous normal vaginal deliveries; is now 41 weeks pregnant 7 her pregnancy was uneventful. She is not contracting and her Pv examination revealed a posterior firm 50 % effaced 2 cm dilated cervix and the fetal head at – 1 station , with reassuring FHR tracing. You decide to manage her pregnancy expectantly. Your patient is now 10 cm dilated, 100% effaced and zero station. What duration is the upper limit of normal for time till she deliver her fetus?",B,circled,24,2,7,Management of normal labour,22,2,5,Anatomy of the pelvis & mechanism of normal labor,medium,Normal-labour content defines second-stage duration by parity; the deck applies an older multiparous cutoff.
obs,Obstetrics,Reviews,4,4,A 20 yrs old pregnant woman undergoes a 28 weeks obstetric ultrasound examination; oligohydraminos is evident. Which of the following is most likely fetal anomalies associated with this abnormality?,B,circled,1,1,2,"Fetus, placenta, membranes and amniotic fluid",,,,,high,Amniotic-fluid physiology links reduced fetal urine from renal obstruction to oligohydramnios.
obs,Obstetrics,Reviews,5,5,"A 30 years old G1P0 in second stage of labour for the past two hours. Fetal head is at +1 station. Inspite of effective uterine contractions, the woman is unable to push as she is exhausted. What will be the appropriate next step in her management?",D,circled,35,2,17,Operative vaginal delivery (case-based),,,,,high,Maternal exhaustion with a sufficiently descended head is an indication for operative vaginal delivery.
obs,Obstetrics,Reviews,6,6,"A 30 years old G1P0 in second stage of labour for the past two hours. Fetal head is at +1 station. Inspite of effective uterine contractions, the woman is unable to push as she is exhausted. In the previous patient, 30 minutes after delivery of a 3.2kg male fetus, the postnatal ward called you for a massive vaginal bleeding, the woman BP is 90/60 & pulse 120bpm. What is the most LIKELY cause of this hemorrhage?",C,circled,50,3,17,PPH & other Obstetric emergencies (case-based),35,2,17,Operative vaginal delivery (case-based),high,"Instrumental delivery predisposes cervical or vaginal trauma, one of the PPH 4 Ts."
obs,Obstetrics,Reviews,7,7,"A 22 years old G3P2 undergoes a normal spontaneous vaginal delivery without complications. The placenta is spontaneously delivered and appears intact. The patient is brought to the postpartum floor, where she starts to bleed profusely. Physical examination reveals a boggy uterus, and a bedside sonogram indicates presence of placenta. What is the most likely cause of this condition?",C,circled,1,1,2,"Fetus, placenta, membranes and amniotic fluid",50,3,17,PPH & other Obstetric emergencies (case-based),high,The placental lecture explicitly links a retained succenturiate lobe with postpartum hemorrhage.
obs,Obstetrics,Reviews,8,8,"A 37 year –old multipara presents at term with history of regular uterine contractions of increasing frequency for the past five hours. The interval between contractions is now less than 5 minutes. Obstetric palpation reveals the following: The fundal grip reveals a hard, round ballottable object occupying the fundus. The lateral grip identifies the back on the left side of the abdomen and the small parts on the right side. The first pelvic grip identifies an irregular bulky structure above the pelvic brim and the second pelvic grip confirms absence of the engagement of the presenting part. Vaginally the cervix is 6 cm dilated. The fetal position is:",D,circled,30,2,13,Fetal malposition & malpresentations,,,,,high,Breech uses the sacrum as denominator; fetal back location determines sacro-anterior position.
obs,Obstetrics,Reviews,9,9,"A 37 year –old multipara presents at term with history of regular uterine contractions of increasing frequency for the past five hours. The interval between contractions is now less than 5 minutes. Obstetric palpation reveals the following: The fundal grip reveals a hard, round ballottable object occupying the fundus. The lateral grip identifies the back on the left side of the abdomen and the small parts on the right side. The first pelvic grip identifies an irregular bulky structure above the pelvic brim and the second pelvic grip confirms absence of the engagement of the presenting part. Vaginally the cervix is 6 cm dilated. The management of this case would be:",A,circled,30,2,13,Fetal malposition & malpresentations,,,,,high,The malpresentation lecture covers selection of multiparas for vaginal breech delivery.
obs,Obstetrics,Reviews,10,10,"A 37 year –old multipara presents at term with history of regular uterine contractions of increasing frequency for the past five hours. The interval between contractions is now less than 5 minutes. Obstetric palpation reveals the following: The fundal grip reveals a hard, round ballottable object occupying the fundus. The lateral grip identifies the back on the left side of the abdomen and the small parts on the right side. The first pelvic grip identifies an irregular bulky structure above the pelvic brim and the second pelvic grip confirms absence of the engagement of the presenting part. Vaginally the cervix is 6 cm dilated. After one hour you returned for reassessment of the case, you found that the cervix is 7 cm dilated, the presenting part is at 0 station and there were ~ 4 contractions/10 minutes. Your conclusion:",B,circled,30,2,13,Fetal malposition & malpresentations,,,,,high,Breech labor management avoids early membrane rupture because foot or cord prolapse can follow.
